Official Name of Satellite,Dry Mass (Kilograms)
AAUSat-4,
ABS-2,
ABS-2A,
ABS-3,1800
ABS-3A,
ABS-4,1700
ABS-6,1730
ABS-7,1800
USA 139,
USA 171,
USA 202,
USA 223,
USA 237,
USA 268,
USA 235,
USA 246,
Aeneas,
Aerocube 4.5A,
Aerocube 4.5B,
Aerocube 5A,
Aerocube 5B,
Aerocube 5C,
Aerocube 6A,
Aerocube 6B,
Aerocube 7A,
Aerocube 8A,
Aerocube 8B,
Eutelsat 28B,1555
Afristar ,1530
AIM,197
AISat-1,
AISSat-1,
AISSat-2,
AIST-1,
AIST-2,
AIST-2D,
ALiCE,
Alphasat I-XL,3370
Alsat-2A,
Amazonas-1,2000
Amazonas-2,
Amazonas-3,2778
Amazonas-4A,
AMC-1,1600
AMC-10,907
AMC-11,"2,316 (BOL)"
AMC-15,
AMC-16,
AMC-18,918
AMC-2,1600
AMC-21,
AMC-3,1600
AMC-4,2500
AMC-6,2500
AMC-7,912
AMC-8,919
AMC-9,2000
Amos 2,646
Amos 3,
Amos 4,
Amos 5,
Amsat-Oscar 7,
Anik F1,2950
Anik F1R,
Anik F2,3805
Anik F3,
Anik G1,
AntelSat,
AprizeSat 1,12
AprizeSat 10,12
AprizeSat 2,12
AprizeSat 3,12
AprizeSat 4,12
AprizeSat 5,12
AprizeSat 7,12
AprizeSat 8,12
AprizeSat 9,12
Apstar 1A,726
Apstar 6,
Apstar 7,
Apstar 9,
Apstar 9A,1418
Arabsat 5C,
Arabsat 7F,1700
ARC-1,
ArSat 1,
ArSat 2,
Advanced Data Relay and Technology Mission Satellite (Artemis) ,1500
AsiaSat-3S,2500
AsiaSat-4,2275
AsiaSat-5,
AsiaSat-6,
AsiaSat-7,
AsiaSat-8,
AsiaStar,1530
ASNARO-1,
Astra 1D,1700
Astra 1F,1800
Astra 1G,"3,010 (BOL)"
Astra 1H,2300
Astra 1KR,
Astra 1L,
Astra 1M,
Astra 1N,
Astra 2A,"2,500 (BOL)"
Astra 2B,1400
Astra 2C,2000
Astra 2D,700
Astra 2E,
Astra 2F,2660
Astra 2G,
Astra 3A,750
Astra 3B,
Astra 5B,
Astrosat,
Athena-Fidus,
Athenoxat-1,
Aurora,
Azerspace/Africasat-1a,1438
Badr 4,1487
Badr 5,
Badr 5A,
Badr 6,
Badr 7,
Cosmos 2503,
Cosmos 2515,
BeeSat-1,
BeeSat-2,
BeeSat-3,
Beidou 2-12,
Beidou 2-13,
Beidou 2-14,
Beidou 2-15,
Beidou 2-16,2300
Beidou 2-23,
Beidou 3I-1S,
Beidou 3I-2S,
Beidou 3M-1S,
Beidou 3M-2S,
Beidou 3M-3S,
Beidou G-1,
Beidou G3,
Beidou G4,
Beidou G5,
Beidou IGSO-1,1900
Beidou IGSO-2,1900
Beidou IGSO-3,1900
Beidou IGSO-4,1900
Beidou IGSO-5,1900
Beidou IGSO-6,1900
Beidou M1,
BeijinGalaxy-1,155
Belintersat-1,
BermudaSat-1,1493
Bispectral InfraRed Detector 2 (Bird 2),77
BIROS,
BisonSat,
BKA 2,110
Brazilsat B-2,"1,050 (BOL)"
Brazilsat B-3,"1,050 (BOL)"
Brazilsat B-4,"1,050 (BOL)"
BRISat,
BRITE-CA-1,
BRITE-PL-1,
BRITE-PL-2,
BSAT-3A,
BSAT-3B,975
BSAT-3C/JCSat 110-R,
Bugsat-1,
Calipso,
Canopus-B,110
CartoSat 1,1450
CartoSat 2,
CartoSat 2A,
CartoSat 2B,
CartoSat 2C,
Cassiope,
CBERS 4,
CBNT-1,
CFESat,
Chandra X-Ray Observatory (CXO),
ChinaSat 11,
ChinaSat 1C,
ChinaSat 2C,
ChinaSat 6B,
Chuangxin 1-1,
Chuangxin 1-2,
Chuangxin 1-3,
Chuangxin 1-4,
Chuangzin-3,
ChubuSat 1,
ChubuSat 2,
ChubuSat 3,
Ciel-2,
CINEMA-1,
USA 257,
Cloudsat,
COMS-1,
COMSATBw-1,
COMSATBw-2,
Condor E2,
Coriolis,395
COSMIC-A,
COSMIC-B,
COSMIC-D,
COSMIC-E,
COSMIC-F,
Cosmos 2504,
COSMO-Skymed 1,
COSMO-Skymed 2,
COSMO-Skymed 3,
COSMO-Skymed 4,
CP-10,
Cryosat-2,
CSSWE,
Cubebug 1,
Cubebug 2,
Cubesat XI-IV ,1
CUSat-1,
Daichi-2,
DAMPE,
DCBB,
Deimos 1,
Deimos 2,
Delfi-C3,
DirecTV-10,3700
DirecTV-11,
DirecTV-12,
DirecTV-14,
DirecTV-15,2364
DirecTV-1R,2304
DirecTV-4S,2100
DirecTV-5,3640
DirecTV-7S,3500
DirecTV-8,
DirecTV-9S,2364
DLR Tubsat,
DMC 3-1,
DMC 3-2,
DMC 3-3,
USA 131,823
USA 147,823
USA 172,825
USA 173,825
USA 210,825
Dove 1c-1,
Dove 1c-10,
Dove 1c-11,
Dove 1c-2,
Dove 1c-3,
Dove 1c-4,
Dove 1c-5,
Dove 1c-6,
Dove 1c-7,
Dove 1c-8,
Dove 1c-9,
Dove 1e-10,
Dove 1e-11,
Dove 1e-12,
Dove 1e-13,
Dove 1e-14,
Dove 1e-6,
Dove 1e-7,
Dove 2b-1,
Dove 2b-10,
Dove 2b-13,
Dove 2b-14,
Dove 2b-2,
Dove 2b-3,
Dove 2b-4,
Dove 2b-5,
Dove 2b-6,
Dove 2b-7,
Dove 2b-9,
Dove 2e-1,
Dove 2e-2,
Dove 2e-3,
Dove 2e-4,
Dove 2ep-1,
Dove 2ep-2,
Dove 2ep-3,
Dove 2ep-4,
Dove 2p-1,
Dove 2p-2,
Dove 2p-3,
Dove 2p-4,
Dove 2p-5,
Dove 2p-6,
Dove 2p-7,
Dove 2p-8,
Dove 2p-9,
Dove 2p-10,
Dove 2p-11,
Dove 2p-12,
Dove-3,
Data Relay Test Satellite (DRTS),1500
USA 167,884
USA 170,884
USA 135,884
USA 148,884
USA 153,884
USA 113,884
USA 130,
USA 149,
USA 159,
USA 176,
DubaiSat-1,
DubaiSat-2,
Duchifat-1,
DX-1,
Echostar 1 ,2000
Echostar 10,
Echostar 11,
Echostar 12,
Echostar 14,3223
Echostar 15,
Echostar 16,3228
Echostar 17,
Echostar 18,
Echostar 3 ,1700
Echostar 7 ,2200
Echostar 8 ,
Echostar 9/Galaxy 23,2500
Echostar G1,
Cosmos 2510,
Electro-L1,
Electro-L2,
ELISA-E12,
ELISA-E24,
ELISA-W11,
ELISA-W23,
EO-1,
Terra,
Aura,
Aqua,2832
EROS A-1,
EROS B-1,
e-st@r-2,
Eurasiasat 1,1900
Eutelsat 10A,
Eutelsat 113 West-A,2310
Eutensat 115 West-B,
Eutelsat 117 West A,2317
Eutelsat 117 West B,2300
Eutelsat 12 West A,1550
Eutelsat 16A,
Eutelsat 16C,
Eutelsat 172A,
Eutelsat 25B,
Eutelsat 33A,1300
Eutelsat 33B,1900
Eutelsat 33C,1375
Eutelsat 36A,1380
Eutelsat 36B,
Eutelsat 3B,
Eutelsat 48A,1700
Eutelsat 48B,2060
Eutelsat 5 West A,1805
Eutelsat 65 West-A,
Eutelsat 7 West A,
Eutelsat 70B,
Eutelsat 7A,2000
Eutelsat 7B,
Eutelsat 8 West A,1368
Eutelsat 8 West B,
Eutelsat Hot Bird 13A,1900
Eutelsat 9A,1740
Eutelsat Hot Bird 13E,
Eutelsat Hot Bird 13D,2240
Eutelsat Hot Bird 13B,
Eutelsat Hot Bird 13C,2338
Eutelsat KA-SAT 9A,3200
exactView 1,
exactView 6,12
exactView 9,6
Express AM-22,
Express AMU1,
Express-A1R,
Express-AM2,
Express-AM3,
Express-AM33,
Express-AM44,
Express-AM5,
Express-AM6,1100
Express-AM7,
Express-AM8,
Express-AT1,
Express-AT2,
Falconsat-3,
USA 222,
Fengniao 1A,
Fengyun 2D,620
Fengyun 2E,620
Fengyun 2F,620
Fengyun 2G,620
Fengyun 3A,
Fengyun 3B,
Fengyun 3C,
Fermi Gamma-Ray Space Telescope,
USA 215,
USA 234,
USA 247,
USA 267,
Firebird-A,
Firebird-B,
Firebird-C,
Firebird-D,
Firefly,
USA 46,1884
Formosat-2,631
Fast On-orbit Recording of Transient Events) FORTÉ ,41
Fox-1A,
FUNCube-1 (AO-73),
Galassia,
Galaxy-11,2775
Galaxy-12,800
Galaxy-13,2630
Galaxy-14,
Galaxy-15,
Galaxy-16,
Galaxy-17,
Galaxy-18,
Galaxy-19,
Galaxy-25,
Galaxy-28,
Galaxy-3C,2873
Galileo FOC FM1,660
Galileo FOC FM10,
Galileo FOC FM11,
Galileo FOC FM2,660
Galileo FOC FM3,
Galileo FOC FM4,
Galileo FOC FM5,
Galileo FOC FM6,
Galileo FOC FM8,
Galileo FOC FM9,
Galileo IOV-1 FM2,
Galileo IOV-1 PFM,
Galileo IOV-2 FM3,
Galileo IOV-2 FM4,
Gaofen 1,
Gaofen 2,
Gaofen 4,
Gaofen 8,
Gaofen 9,
Cosmos 2473,
Cosmos 2513,
Garuda-1,2500
GATOSS,
GEARRSAT-2,
Genesis-1,
Genesis-2,
Cosmos 2517,
GeoEye-1,
Geomagnetic Tail Laboratory (Geotail),
GHGSat-D,
GCOM-1,
Globalstar FM4,350
Globalstar FM8,350
Globalstar M023,350
Globalstar M026,350
Globalstar M027,350
Globalstar M028,350
Globalstar M029,350
Globalstar M031,350
Globalstar FM37,350
Globalstar M039,350
Globalstar M040,350
Globalstar M056,350
Globalstar M059,350
Globalstar M063,350
Globalstar M065,350
Globalstar M066,350
Globalstar M067,350
Globalstar M068,350
Globalstar M069,350
Globalstar M070,350
Globalstar M071,350
Globalstar M072,350
Globalstar M073,
Globalstar M074,
Globalstar M075,
Globalstar M076,
Globalstar M077,
Globalstar M078,
Globalstar M079,
Globalstar M080,
Globalstar M081,
Globalstar M082,
Globalstar M083,
Globalstar M084,
Globalstar M085,
Globalstar M086,
Globalstar M088,
Globalstar M089,
Globalstar M090,
Globalstar M091,
Globalstar M092,
Globalstar M093,
Globalstar M094,
Globalstar M095,
Globalstar M096,
Globalstar M097,
Cosmos 2471,
Cosmos 2501,
Cosmos 2419,
Cosmos 2424,
Cosmos 2425,
Cosmos 2426,
Cosmos 2432,
Cosmos 2433,
Cosmos 2434,
Cosmos 2436,
Cosmos 2443,
Cosmos 2456,
Cosmos 2459,
Cosmos 2460,
Cosmos 2457,
Cosmos 2458,
Cosmos 2461,
Cosmos 2464,
Cosmos 2465,
Cosmos 2466,
Cosmos 2474,
Cosmos 2476,
Cosmos 2477,
Cosmos 2475,
Cosmos 2478,
Cosmos 2485,
Cosmos 2514,
Cosmos 2516,
Cosmos 2491,
Cosmos 2500,
GOES-13,1533
GOES-14,1533
GOES-15,2180
GOES-3,
Göktürk 2,
GOMX-3,
Gonets D1-14,
Gonets M-03,
Gonets M-04,
Gonets M-05,
Gonets M-11,
Gonets M-12,
Gonets M-13,
Gonets M-14,
Gonets M-16,
Gonets M-17,
Gonets M-18,
Gonets M-19,
Gonets M-20,
GPM Core Observatory,
"Gravity Recovery and Climate Experiment (Grace 1, ""Tom and Jerry"")",445
"Gravity Recovery and Climate Experiment (Grace 2, ""Tom and Jerry"")",445
Ibuki,
GRIFEX,
GSAT-10,1493
GSAT-12,559
GSAT-14,
GSAT-15,
GSAT-16,
GSAT-2,
GSAT-6,980
GSAT-7,
GSAT-8,1426
USA 253,600
USA 254,600
Haiyang 2A,
Helios 2A,"1,500-1,900"
Helios 2B,"1,500-1,900"
HellasSat 2,
RHESSI (Reuven Ramaty High Energy Solar Spectroscopic Imager),
Himawari 8,1300
Hinode,530
Hisaki,
Hispasat 1C,1304
Hispasat 1D,1382
Hispasat 1E,2175
HJ-1A,
HJ-1B,
HJ-1C,
Hodoyoshi-1,
Hodoyoshi-3,
Hodoyoshi-4,
Horizons 2,
Horyu-2,
Horyu-4,
Hubble Space Telescope,
HumSat-D,
HYLAS 1,
HYLAS 2,1532
IGS-3A,
IGS-5A,
IGS-6A,
IGS-7A,
IGS-8A,
IGS-8B,
IGS-9A,
IGS-9B,
USA 184,
USA 200,
USA 259,
INMARSAT 3 F1,860
INMARSAT 3 F2,860
INMARSAT 3 F3,860
INMARSAT 3 F4,860
INMARSAT 3 F5,895
INMARSAT 4 F1,
INMARSAT 4 F2,
INMARSAT 4 F3,
INMARSAT 5 F1,3750
INMARSAT 5 F2,3360
INMARSAT 5 F3,
INSAT 3A,1348
INSAT 3C,1050
INSAT 3D,
INSAT 4A,
INSAT 4B,1335
INSAT 4CR,
