movie_title,release_date,genre,mpaa_rating,total_gross,Pricce
Snow White and the Seven Dwarfs,21-12-1937,Musical,G,184925485,1
Pinocchio,09-02-1940,Adventure,G,84300000,1
Fantasia,13-11-1940,Musical,G,83320000,1
Song of the South,12-11-1946,Adventure,G,65000000,1
Cinderella,15-02-1950,Drama,G,85000000,1
"20,000 Leagues Under the Sea",23-12-1954,Adventure,,28200000,1
Lady and the Tramp,22-06-1955,Drama,G,93600000,
Sleeping Beauty,29-01-1959,Drama,,9464608,1
101 Dalmatians,25-01-1961,Comedy,G,153000000,1
The Absent Minded Professor,16-03-1961,Comedy,,25381407,1
Babes in Toyland,14-12-1961,Musical,G,10218316,1
Bon Voyage!,17-05-1962,Comedy,Not Rated,9230769,1
The Sword in the Stone,25-12-1963,Adventure,,22182353,1
The Jungle Book,18-10-1967,Musical,Not Rated,141843000,
Blackbeard's Ghost,08-02-1968,Comedy,,21540050,1
The Aristocats,24-04-1970,Musical,G,55675257,1
The Boatniks,01-07-1970,Comedy,,18607492,1
Bedknobs and Broomsticks,07-10-1971,Musical,,17871174,1
The Apple Dumpling Gang,01-07-1975,Comedy,,31916500,1
Freaky Friday,21-01-1977,Comedy,,25942000,1
The Many Adventures of Winnie the Pooh,11-03-1977,,,0,1
The Rescuers,22-06-1977,Adventure,,48775599,
Herbie Goes to Monte Carlo,24-06-1977,,,28000000,1
The Black Hole,21-12-1979,,,35841901,1
Midnight Madness,08-02-1980,,,2900000,1
The Last Flight of Noah’s Ark,25-06-1980,,,11000000,1
The Devil and Max Devlin,01-01-1981,,,16000000,1
Amy,20-03-1981,Drama,,0,1
The Fox and the Hound,10-07-1981,Comedy,,43899231,1
Condorman,07-08-1981,Action,,0,1
Night Crossing,05-02-1982,Drama,,4500000,
Tron,09-07-1982,Action,,26918576,1
Tex,19-11-1982,Drama,,7199408,1
Trenchcoat,11-03-1983,Comedy,,4304286,1
Something Wicked This Way Comes,29-04-1983,Horror,,5656087,1
Never Cry Wolf,07-10-1983,Drama,,27668764,1
Running Brave,04-11-1983,Drama,,1204595,1
Splash,09-03-1984,Comedy,PG,62599495,1
Country,29-09-1984,Drama,,8400000,
Baby: Secret of the Lost Legend,22-03-1985,Adventure,,14276095,1
Return to Oz,21-06-1985,Adventure,,10618813,1
The Black Cauldron,24-07-1985,Adventure,,21288692,1
My Science Project,09-08-1985,Comedy,,4100000,1
The Journey of Natty Gann,27-09-1985,Drama,,9468512,
One Magic Christmas,22-11-1985,Drama,,13229514,
Down and Out in Beverly Hills,31-01-1986,Comedy,R,62134225,1
Off Beat,11-04-1986,Comedy,,4842778,1
Ruthless People,27-06-1986,Comedy,R,71624879,1
The Great Mouse Detective,02-07-1986,Adventure,,23605534,
Flight of the Navigator,30-07-1986,Adventure,,18564613,1
Tough Guys,03-10-1986,Comedy,,21458229,1
The Color of Money,17-10-1986,Drama,R,52293000,1
Outrageous Fortune,30-01-1987,Comedy,R,52864741,1
Tin Men,06-03-1987,Comedy,,25411386,
Ernest Goes to Camp,22-05-1987,Comedy,,23509382,
Benji the Hunted,05-06-1987,Adventure,,15212539,
Adventures in Babysitting,03-07-1987,Comedy,,33790923,
Stakeout,05-08-1987,Comedy,R,65673233,
Can't Buy Me Love,14-08-1987,Romantic Comedy,,31623833,
Hello Again,06-11-1987,Comedy,,20419446,
3 Men and a Baby,25-11-1987,Comedy,PG,167780960,
Good Morning Vietnam,23-12-1987,Comedy,R,123922370,
Shoot to Kill,12-02-1988,Action,,29300000,
D.O.A.,18-03-1988,Thriller/Suspense,,12706478,
Return to Snowy River,15-04-1988,Adventure,PG,13687027,
Big Business,10-06-1988,Comedy,PG,40150487,
Who Framed Roger Rabbit?,22-06-1988,Comedy,PG,154112492,
Cocktail,29-07-1988,Drama,R,78222753,
The Rescue,05-08-1988,Action,,5855392,
Heartbreak Hotel,30-09-1988,Comedy,,5509417,
The Good Mother,04-11-1988,Drama,,4764606,
Ernest Saves Christmas,11-11-1988,Comedy,PG,28202109,
Oliver & Company,18-11-1988,Adventure,G,49576671,
Beaches,21-12-1988,Drama,PG-13,57041866,
Three Fugitives,27-01-1989,Comedy,PG-13,40590000,
New York Stories,01-03-1989,Drama,PG,10763469,
Disorganized Crime,14-04-1989,Comedy,,7210149,
Dead Poets Society,02-06-1989,Drama,PG,95860116,
"Honey, I Shrunk the Kids",23-06-1989,Adventure,PG,130724172,
Turner & Hooch,28-07-1989,Comedy,PG,71079915,
Cheetah,18-08-1989,Adventure,,7882250,
An Innocent Man,06-10-1989,Drama,R,19397847,
Gross Anatomy,20-10-1989,Drama,PG-13,11346186,
The Little Mermaid,15-11-1989,Adventure,G,111543479,
